time,open,high,low,close,tick_volume
2026-02-25 02:30:00,5140.3,5156.37,5140.3,5152.33,12928
2026-02-25 03:00:00,5152.33,5188.5,5144.46,5185.38,23486
2026-02-25 03:30:00,5185.36,5190.02,5174.89,5176.99,12560
2026-02-25 04:00:00,5176.99,5193.97,5176.64,5189.78,12068
2026-02-25 04:30:00,5189.79,5190.72,5166.64,5180.76,15436
2026-02-25 05:00:00,5180.76,5190.11,5179.47,5186.45,16074
2026-02-25 05:30:00,5186.45,5188.66,5178.55,5182.21,9877
2026-02-25 06:00:00,5182.19,5185.15,5172.67,5182.97,7955
2026-02-25 06:30:00,5182.97,5185.03,5180.0,5182.68,5428
2026-02-25 07:00:00,5182.7,5196.31,5182.7,5195.58,8168
2026-02-25 07:30:00,5195.58,5210.76,5192.5,5201.88,13854
2026-02-25 08:00:00,5201.88,5201.93,5182.31,5189.77,14627
2026-02-25 08:30:00,5189.75,5194.88,5188.55,5194.82,12245
2026-02-25 09:00:00,5194.82,5195.26,5182.44,5189.71,10321
2026-02-25 09:30:00,5189.71,5190.63,5180.52,5184.85,8370
2026-02-25 10:00:00,5184.85,5194.37,5184.73,5193.61,10557
2026-02-25 10:30:00,5193.61,5197.41,5184.22,5185.65,11025
2026-02-25 11:00:00,5185.65,5188.76,5176.61,5186.92,13163
2026-02-25 11:30:00,5186.92,5194.76,5186.02,5193.32,10467
2026-02-25 12:00:00,5193.32,5195.42,5172.48,5175.41,12328
2026-02-25 12:30:00,5175.39,5181.19,5170.29,5175.19,10106
2026-02-25 13:00:00,5175.34,5176.18,5155.27,5168.75,13517
2026-02-25 13:30:00,5168.75,5182.74,5166.84,5181.6,10490
2026-02-25 14:00:00,5181.6,5187.45,5178.25,5183.63,8339
2026-02-25 14:30:00,5183.63,5186.43,5177.36,5182.79,8184
2026-02-25 15:00:00,5182.81,5191.52,5181.17,5188.05,12254
2026-02-25 15:30:00,5188.05,5191.3,5182.19,5185.32,11861
2026-02-25 16:00:00,5185.32,5191.17,5174.7,5177.78,12454
2026-02-25 16:30:00,5177.78,5193.27,5158.97,5191.19,24469
2026-02-25 17:00:00,5191.3,5202.43,5174.01,5180.32,20648
2026-02-25 17:30:00,5180.32,5198.4,5172.54,5194.89,17162
2026-02-25 18:00:00,5194.89,5206.19,5189.95,5203.05,13795
2026-02-25 18:30:00,5203.05,5213.89,5199.13,5212.26,13250
2026-02-25 19:00:00,5212.21,5217.8,5207.85,5213.13,11971
2026-02-25 19:30:00,5213.27,5214.59,5203.66,5206.86,10602
2026-02-25 20:00:00,5206.96,5207.7,5206.75,5207.12,4992
2026-02-25 20:30:00,5207.12,5207.65,5200.78,5202.09,5203
2026-02-25 21:00:00,5202.08,5208.02,5191.8,5202.6,11493
2026-02-25 21:30:00,5202.74,5208.32,5199.74,5205.03,15310
2026-02-25 22:00:00,5205.01,5206.32,5183.09,5186.1,13147
2026-02-25 22:30:00,5186.43,5190.66,5146.34,5152.15,17800
2026-02-25 23:00:00,5152.17,5173.05,5150.23,5168.96,9632
2026-02-25 23:30:00,5168.9,5173.24,5162.95,5163.68,5498
2026-02-26 01:00:00,5163.68,5182.16,5158.68,5169.94,8151
2026-02-26 01:30:00,5169.94,5179.29,5161.43,5163.23,10266
2026-02-26 02:00:00,5163.23,5186.27,5155.58,5185.52,12705
2026-02-26 02:30:00,5185.52,5192.14,5181.28,5188.31,10737
2026-02-26 03:00:00,5188.31,5198.32,5178.81,5180.68,19386
2026-02-26 03:30:00,5180.68,5194.18,5178.84,5191.78,22767
2026-02-26 04:00:00,5191.77,5195.89,5180.79,5180.87,16031
2026-02-26 04:30:00,5180.88,5186.64,5174.25,5184.52,20409
2026-02-26 05:00:00,5184.54,5193.94,5183.16,5188.49,17058
2026-02-26 05:30:00,5188.49,5193.03,5184.37,5192.66,7439
2026-02-26 06:00:00,5192.66,5199.27,5191.47,5194.22,7116
2026-02-26 06:30:00,5194.22,5195.84,5190.71,5192.68,5660
2026-02-26 07:00:00,5192.7,5205.65,5189.94,5200.59,8232
2026-02-26 07:30:00,5200.58,5203.43,5191.39,5198.34,11969
2026-02-26 08:00:00,5198.34,5199.6,5193.2,5193.92,9909
2026-02-26 08:30:00,5193.92,5198.5,5190.11,5193.34,8700
2026-02-26 09:00:00,5193.34,5194.86,5182.22,5185.21,8495
2026-02-26 09:30:00,5185.21,5189.88,5179.78,5186.0,7039
2026-02-26 10:00:00,5186.0,5190.85,5175.41,5176.96,11616
2026-02-26 10:30:00,5176.96,5182.35,5167.74,5179.35,13393
2026-02-26 11:00:00,5179.35,5182.5,5174.12,5181.04,10302
2026-02-26 11:30:00,5181.03,5189.59,5179.34,5186.47,7260
2026-02-26 12:00:00,5186.47,5190.2,5178.75,5179.47,6951
2026-02-26 12:30:00,5179.33,5179.62,5165.97,5171.36,11627
2026-02-26 13:00:00,5171.36,5178.52,5169.35,5171.97,9021
2026-02-26 13:30:00,5171.97,5175.45,5161.22,5164.67,7489
2026-02-26 14:00:00,5164.68,5180.25,5157.78,5178.47,11220
2026-02-26 14:30:00,5178.48,5187.95,5177.8,5183.73,8988
2026-02-26 15:00:00,5183.73,5185.71,5168.2,5174.58,15208
2026-02-26 15:30:00,5174.58,5177.23,5164.21,5166.24,12980
2026-02-26 16:00:00,5166.04,5172.4,5160.26,5170.43,12931
2026-02-26 16:30:00,5170.43,5176.18,5139.79,5164.98,30596
