agent_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
48671,9.729522,0.23094688,1299,22,11.625,5.3367867
75172,9.655487,0.33681932,2773,15,10.125,6.2374306
34707,9.61542,0.31527996,3822,22,11.625,5.419583
29144,9.520647,0.24791941,2283,29,12.916666666666666,5.115549
86255,9.510653,0.36141038,2042,17,8.708333333333334,6.9437675
11131,9.458332,0.28586498,948,15,8.375,6.1835585
79358,9.439289,0.3240918,3138,16,10.208333333333334,5.7749786
64834,9.376489,0.23632812,1536,24,12.625,5.2721405
29331,9.334252,0.34946677,2438,15,9.125,6.4016366
49223,9.286816,0.36391753,1940,15,9.208333333333334,6.917546
88498,9.246317,0.30243644,1888,17,10.458333333333334,5.995479
59285,9.234372,0.29072487,1283,18,8.916666666666666,6.094461
80576,9.209613,0.32677966,1475,20,8.958333333333334,6.543966
76855,9.196453,0.38605413,6095,16,9.708333333333334,5.184994
62885,9.112196,0.37191013,1780,17,8.0,7.031409
6019,9.0830555,0.5214477,1492,8,4.833333333333333,9.507367
91446,9.062178,0.42218137,3264,13,8.291666666666666,6.7888274
16044,9.061518,0.28151262,1428,21,10.0,5.7884417
1126,9.05756,0.33244783,2635,17,9.625,5.948875
60716,9.013645,0.35518867,2120,14,8.416666666666666,6.5179944
4751,9.000794,0.38198942,1699,15,8.083333333333334,7.108608
6447,8.947038,0.32238606,1492,21,9.041666666666666,6.331725
72060,8.81877,0.4034548,4226,19,9.416666666666666,5.8706055
57247,8.718655,0.24626866,1206,24,10.75,5.3273582
6158,8.670195,0.33846813,2337,17,8.666666666666666,5.9802127
92622,8.625329,0.1687527,2317,31,18.666666666666668,3.6300805
67292,8.543413,0.28632116,1177,17,9.416666666666666,5.8070974
93725,8.495299,0.30477327,4190,21,11.416666666666666,4.572209
99642,8.41158,0.33936453,2266,21,9.833333333333334,5.8777685
20390,8.31172,0.34587553,2073,16,8.125,6.021006
24741,8.280507,0.42971596,2746,13,7.5,6.6691933
41716,8.229716,0.4112618,3392,12,8.375,6.0114627
70945,8.146046,0.37783712,1498,11,7.541666666666667,6.710526
52049,8.13184,0.27726576,1302,21,10.291666666666666,5.384238
52575,8.030583,0.33451328,1130,23,8.208333333333334,6.251196
4744,7.6820498,0.53021276,1175,10,4.666666666666667,8.804049
33835,7.6669717,0.42713568,995,9,5.375,7.3470783
52997,7.644317,0.25515464,1552,23,10.666666666666666,4.7469835
3593,7.526096,0.3065204,3282,16,10.458333333333334,4.452744
23692,7.2963657,0.33286583,2139,17,10.25,5.194666
54930,7.1276116,0.33135554,2191,18,9.041666666666666,5.0381866
65881,6.770214,0.32041588,1058,16,7.333333333333333,5.4252977
45881,6.6866493,0.35910404,1384,16,7.458333333333333,5.6369743
24150,6.6519446,0.22007559,2381,25,13.25,3.452368
51475,6.5618663,0.43234,2047,12,7.25,5.895866
37927,6.3380218,0.41854936,841,9,5.416666666666667,6.458731
46110,6.327111,0.4292755,2029,11,6.625,5.6797304
59425,6.292409,0.3301837,1905,19,9.291666666666666,4.6635528
37,6.282224,0.45731303,1511,12,5.833333333333333,6.4003544
69375,5.8140554,0.22613981,1645,25,12.625,3.4638455
96367,5.774694,0.31664854,919,14,7.25,4.8526726
4112,5.6438303,0.48852772,1046,10,5.166666666666667,6.638509
21235,5.5928626,0.45434463,1358,13,6.25,5.893466
96382,5.53951,0.38445747,3410,15,8.333333333333334,3.832242
12232,5.4208612,0.36241612,1043,13,6.958333333333333,5.033729
4258,5.3186173,0.29236498,1074,18,8.791666666666666,4.1854568
95034,5.301687,0.3929471,794,10,5.708333333333333,5.45419
59420,5.2997475,0.49266246,954,7,4.875,6.4336457
46422,5.201056,0.3728294,979,13,6.375,4.982195
53906,4.972849,0.4417178,1304,11,5.958333333333333,5.227712
99834,4.9521046,0.4526404,1193,12,6.208333333333333,5.4181666
93267,4.6998405,0.40102828,389,8,4.166666666666667,5.213043
51226,4.3291106,0.4197292,517,7,4.208333333333333,5.123148
83990,4.2159476,0.37407953,679,9,5.333333333333333,4.4758315
16430,3.7449307,0.3473054,835,9,6.041666666666667,3.6163244
1699,3.6964324,0.44915253,354,11,3.7083333333333335,4.886894
