model_id,seed,months_survived,disqualified,total_trades,total_pnl,avg_monthly_sharpe,rank_score,pnl_m1,sharpe_m1,trades_m1,pnl_m2,sharpe_m2,trades_m2,pnl_m3,sharpe_m3,trades_m3,pnl_m4,sharpe_m4,trades_m4,pnl_m5,sharpe_m5,trades_m5,pnl_m6,sharpe_m6,trades_m6,pnl_m7,sharpe_m7,trades_m7,pnl_m8,sharpe_m8,trades_m8,pnl_m9,sharpe_m9,trades_m9,pnl_m10,sharpe_m10,trades_m10,pnl_m11,sharpe_m11,trades_m11,pnl_m12,sharpe_m12,trades_m12
596,1596,0,True,0,-0.32016386604061603,-10.0,-100.1,-0.32016386604061603,-1.4092324556710276,275,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
597,1597,0,True,0,-0.010163272843646858,-10.0,-100.1,-0.010163272843646858,-0.04337575660921566,274,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
601,1601,0,True,0,-0.810154032797298,-10.0,-100.1,-0.810154032797298,-3.9953970536343903,258,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
604,1604,0,True,0,-0.8901638210359704,-10.0,-100.1,-0.8901638210359704,-4.2740340086663355,275,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
606,1606,0,True,0,-0.15013598900107236,-10.0,-100.1,-0.15013598900107236,-0.7141626816160234,228,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
607,1607,0,True,0,-0.28016328024583614,-10.0,-100.1,-0.28016328024583614,-1.2297403094435329,274,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
608,1608,0,True,0,-0.4501631907727596,-10.0,-100.1,-0.4501631907727596,-2.022520260350888,273,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
610,1610,0,True,0,-0.7301632968828674,-10.0,-100.1,-0.7301632968828674,-3.4147361151033495,274,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
612,1612,0,True,0,-0.31016353466414076,-10.0,-100.1,-0.31016353466414076,-1.3662472976010671,274,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
613,1613,0,True,0,-0.21016472425840937,-10.0,-100.1,-0.21016472425840937,-0.9117555687142125,276,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
