agent_idx,final_equity,winrate,trades,max_drawdown
2780,12.046269,0.52905756,3820,0.13314517
2931,12.015593,0.5081149,3204,0.08925178
881,12.012551,0.46894994,2657,0.07840017
4839,12.006592,0.4461296,5077,0.14642881
2567,12.00404,0.37401575,3810,0.09096436
2072,12.003503,0.5403543,3048,0.086997576
6109,11.985804,0.51419914,2641,0.081600904
1096,11.958775,0.6680541,1922,0.07273634
113,11.947809,0.3233301,2066,0.05465561
1062,11.905567,0.34351483,2259,0.05384381
2674,11.877291,0.5166552,4353,0.08399903
5040,11.854787,0.33543307,1905,0.0697611
127,11.817094,0.5071113,4078,0.07055199
424,11.8131075,0.4720426,2629,0.07179162
4588,11.792161,0.62275714,2285,0.07846802
2781,11.791542,0.5779955,1327,0.05571181
3225,11.773666,0.54916453,3112,0.047832362
6747,11.747847,0.47101957,2864,0.13640015
5600,11.745088,0.55586493,2873,0.060006183
1094,11.720957,0.5525876,2396,0.053208813
4439,11.70415,0.35155225,4574,0.09938469
108,11.694487,0.32162726,2876,0.07489699
910,11.6731,0.44753605,2983,0.08677755
1981,11.65321,0.47784632,1783,0.036722176
1257,11.61305,0.51380336,5035,0.16765027
2285,11.606345,0.47413793,3016,0.08866004
1191,11.604754,0.4909385,3090,0.118006244
3005,11.591869,0.5185828,2879,0.0882055
3745,11.550831,0.50473183,1585,0.07749757
4091,11.527373,0.3909091,1870,0.056419794
7,11.518928,0.41290322,1860,0.0681787
6152,11.501318,0.5010081,2976,0.068608746
6015,11.489876,0.5593076,3524,0.06794123
2013,11.459832,0.3404515,1639,0.10558826
2085,11.459511,0.49038124,2859,0.075497925
843,11.445403,0.3720565,2548,0.21521248
1007,11.427511,0.4710804,2749,0.13354282
4487,11.423034,0.516523,4176,0.09552032
371,11.420224,0.4974601,2756,0.048610456
5967,11.405333,0.5516238,2063,0.08474799
3798,11.399561,0.45904914,2503,0.04201848
4281,11.360519,0.32951808,1660,0.07246545
3526,11.359222,0.40471935,2797,0.07495871
5820,11.356324,0.31633648,3079,0.060708366
5434,11.355613,0.50794494,1888,0.058635224
3188,11.332389,0.63551944,1723,0.08098326
2994,11.326574,0.5588235,1836,0.05333008
4659,11.282482,0.33470148,2680,0.07623732
1907,11.268166,0.4832776,2392,0.056174003
5879,11.267644,0.48490945,1491,0.041608874
4332,11.265704,0.5200864,2315,0.06958618
856,11.232301,0.5321101,1090,0.028157799
390,11.230956,0.45189703,2952,0.27581266
3096,11.224768,0.39665872,2095,0.06597073
2850,11.203129,0.45578948,3800,0.08184832
1710,11.1916065,0.38653734,3402,0.10212885
1140,11.167908,0.4717295,5412,0.1029691
1502,11.148506,0.509633,2180,0.077447
3095,11.146565,0.3752418,2585,0.06757225
6386,11.13045,0.343482,2332,0.05222317
101,11.122992,0.32240647,2593,0.08163341
4710,11.118197,0.55181485,1901,0.06211904
3400,11.113072,0.43483484,3330,0.07719959
4857,11.065715,0.404087,1517,0.08152842
132,11.059406,0.3945993,1148,0.051936604
4184,11.056729,0.49095967,2157,0.04445125
5324,11.0443125,0.35475707,1976,0.03656532
1451,11.015645,0.40964994,1057,0.027754204
2124,11.012127,0.37151584,2619,0.12081945
5407,10.994232,0.44835213,4521,0.13024421
102,10.984723,0.41527355,2632,0.091959886
3153,10.982811,0.5366154,1625,0.03719756
3969,10.978951,0.490301,1495,0.08388016
2929,10.969997,0.5589102,1358,0.07480961
2220,10.966292,0.71272933,1744,0.026082173
4361,10.960103,0.5264505,4688,0.23741336
3163,10.954218,0.38351893,2245,0.07022844
707,10.953936,0.49692622,1952,0.05243093
6233,10.943737,0.45502052,2679,0.060094718
5586,10.931831,0.66346157,2288,0.049544986
1301,10.90886,0.51953447,2406,0.07857732
2842,10.87689,0.38101983,3530,0.049023956
239,10.860119,0.4113821,1845,0.046000533
2965,10.833033,0.4668473,6274,0.17419237
1837,10.824969,0.612663,1074,0.039745543
3965,10.820626,0.35832915,1987,0.062205184
4720,10.820143,0.42427617,2694,0.05499959
5921,10.7855835,0.33495146,2884,0.08675837
4967,10.778922,0.53609467,1690,0.06579186
4572,10.758013,0.58019805,2020,0.03153491
4931,10.738518,0.43569943,3367,0.08930216
1208,10.727348,0.35006785,5159,0.103952505
1385,10.723131,0.37835053,970,0.044509675
2390,10.714554,0.35018727,1602,0.054427944
2319,10.706969,0.635605,1438,0.04848074
5792,10.683715,0.38657957,3368,0.08886133
751,10.663035,0.32662538,2584,0.07645082
5045,10.638384,0.4171934,1582,0.08307643
1114,10.630565,0.3544034,1408,0.087615505
4268,10.629744,0.52121675,3912,0.06785921
5192,10.626908,0.42803597,1334,0.063995704
3371,10.618594,0.44930664,3245,0.12677343
1581,10.572669,0.52822465,3419,0.09256222
3318,10.566777,0.38129786,2481,0.09185163
2211,10.5513,0.60585403,2494,0.08726264
5501,10.535806,0.5294902,3001,0.088611536
800,10.50233,0.48120502,3751,0.12272637
5531,10.492348,0.38980582,2060,0.053323753
4072,10.489043,0.469282,5404,0.106486425
4553,10.483594,0.4052072,2727,0.07419163
5674,10.465728,0.3236635,2413,0.043026697
568,10.444655,0.32380012,3042,0.06190613
1999,10.443689,0.55733335,1125,0.048971415
6592,10.440911,0.43706104,1851,0.09013523
3346,10.424566,0.531114,3905,0.09643824
4318,10.378162,0.55730337,2225,0.040339295
4285,10.369065,0.54409117,1667,0.04977317
1149,10.368535,0.4517621,4540,0.19342926
6594,10.358343,0.3137255,2754,0.063413866
4419,10.356265,0.41032028,2810,0.10297326
327,10.344918,0.4425982,3972,0.052917108
3474,10.337398,0.3931624,1989,0.06547272
2468,10.334165,0.35327488,1939,0.046391506
2065,10.324777,0.5458515,1374,0.03044864
3832,10.305096,0.3768421,2375,0.19215956
2337,10.250865,0.4246549,5216,0.10084014
6511,10.245952,0.36725876,4166,0.076554954
2724,10.229958,0.48402652,1659,0.045069303
6722,10.224166,0.34818557,2177,0.061786413
2976,10.179026,0.53362834,3390,0.065450095
191,10.163126,0.33981308,2675,0.077511474
1851,10.15364,0.44636014,1044,0.061094224
4879,10.150844,0.4589974,3451,0.07130259
6505,10.098314,0.4914878,2702,0.09011608
6433,10.091661,0.46901172,2388,0.050787777
4129,10.08861,0.4893018,1776,0.056546744
2422,10.085592,0.3113027,3132,0.09445695
632,10.075998,0.50901806,998,0.039135236
920,10.066577,0.3195109,1881,0.09664986
4327,10.06531,0.46336997,2730,0.11080543
976,10.058939,0.48476514,4726,0.13830481
4370,10.0554695,0.47733334,1125,0.035144746
595,10.052445,0.3535109,2891,0.087587595
5472,10.044464,0.5193622,1756,0.031607345
2727,10.028045,0.40144154,3191,0.049547072
2943,10.013444,0.4929817,2351,0.119851895
4128,10.005663,0.37219936,2187,0.049760856
6050,10.000692,0.59711194,1385,0.022344701
2258,9.989927,0.4870499,1583,0.048807953
3536,9.983357,0.43793628,3295,0.10608317
1954,9.966533,0.39091402,3676,0.12962775
6396,9.9611845,0.3501715,3207,0.13292485
3567,9.959792,0.4191443,1379,0.0515359
3505,9.954761,0.5808937,1947,0.031971812
6752,9.952433,0.5068604,2478,0.079626374
5303,9.95018,0.36115962,2863,0.05575411
3784,9.943315,0.42814192,3326,0.060841247
6124,9.936028,0.3849624,1995,0.040410884
