agent_idx,final_equity,winrate,trades,max_drawdown,sharpe,orders_placed,orders_cancelled
1539,2.0434732,0.28980893,314,0.03656184,3.0038632426995955,332,18
3394,2.0430975,0.24717286,1238,0.0975143,2.0833573005726858,1965,727
2041,2.0426621,0.26738492,1021,0.07221556,2.354355468120727,1458,436
59,2.0423875,0.23935091,493,0.14143439,1.9947242852004679,767,274
2860,2.0422342,0.35643566,101,0.026077807,2.339924119363254,102,1
3399,2.041674,0.2913669,834,0.09278088,2.57278231588006,1017,183
2154,2.041647,0.26704016,1071,0.12357804,2.3127522085544756,1615,544
3400,2.0416124,0.27745664,346,0.03668033,2.579846805916755,372,26
2374,2.0414789,0.24545455,770,0.098002955,2.2618004908808715,1023,252
2626,2.0411522,0.2864,625,0.15912883,2.141682212452062,931,305
2739,2.0407712,0.3212237,523,0.0997391,2.7155150348597195,644,121
3378,2.0398695,0.5232975,279,0.02351274,5.152478298865994,285,6
1101,2.0395935,0.27021277,940,0.13167682,2.39791831090229,1288,348
2869,2.0394144,0.32846716,1644,0.064205065,2.8857714619671513,2085,441
3002,2.038907,0.29605263,304,0.0712677,2.559000026348637,344,40
215,2.0387824,0.27513227,189,0.07922731,2.778480442152305,215,26
67,2.0381515,0.41477272,528,0.037766673,4.496694196523772,620,92
813,2.0379052,0.43097642,297,0.018385336,4.911801684815416,325,28
1682,2.0378542,0.2631579,266,0.045412187,2.562124616985426,293,26
1801,2.037013,0.38,700,0.05124285,3.249624026088262,912,211
2733,2.0369093,0.4185185,270,0.039854288,3.376931621149178,312,42
331,2.036566,0.31051344,818,0.04827342,3.172806249156035,974,156
2223,2.0362797,0.30136988,146,0.048797455,2.4015134160858507,162,15
1381,2.0357916,0.26855895,458,0.047704767,2.8188888586134047,551,93
693,2.0350697,0.27906978,258,0.07294332,2.2928844474804575,272,13
1361,2.035069,0.31564987,1508,0.09800773,2.317175692775963,2210,702
1150,2.0348487,0.24291497,247,0.053316183,2.1708635854880383,273,25
3629,2.0347974,0.24497992,249,0.07938228,1.94762040982431,303,53
968,2.0340197,0.34507042,284,0.057074625,2.8239937161406377,311,27
