filter_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
87430,22.648478,0.4099469,10355,18,11.208333333333334,10.31897
74473,22.647131,0.41197497,10071,18,11.0,10.45038
96079,22.646873,0.41422853,9741,13,9.458333333333334,10.607952
99972,22.6441,0.41826248,9243,17,9.291666666666666,10.862234
18158,22.64087,0.41206878,10059,17,10.75,10.452717
7872,22.640863,0.42368177,8648,13,9.75,11.189749
85832,22.637812,0.4067422,10857,18,10.875,10.093929
51964,22.637535,0.40693483,10815,19,10.333333333333334,10.110015
58774,22.637354,0.41306978,9916,14,9.125,10.518382
47950,22.636559,0.41555998,9563,14,9.458333333333334,10.691136
10433,22.63455,0.41761425,9322,13,9.5,10.815297
97526,22.631775,0.40599108,10983,19,10.791666666666666,10.038471
16427,22.62779,0.41338065,9865,19,10.541666666666666,10.539027
95267,22.627165,0.41445807,9697,16,10.041666666666666,10.621004
58903,22.626415,0.41789758,9275,14,10.166666666666666,10.835284
41942,22.623682,0.4164905,9460,12,9.75,10.739153
83971,22.623487,0.4137896,9819,13,9.625,10.559767
37762,22.623373,0.41899562,9160,12,8.833333333333334,10.896623
74252,22.618952,0.41484627,9659,17,10.541666666666666,10.635697
53382,22.616243,0.41439027,9701,14,10.125,10.613897
72172,22.613964,0.40901726,10491,17,10.083333333333334,10.24146
2751,22.61049,0.41431358,9739,20,10.125,10.592071
96944,22.607632,0.4183375,9227,13,9.291666666666666,10.852505
13728,22.60483,0.40706733,10782,15,10.708333333333334,10.110304
47159,22.603376,0.41098318,10161,15,9.833333333333334,10.387007
60101,22.601448,0.41995797,9039,15,9.541666666666666,10.949536
62968,22.59985,0.42176178,8832,14,9.25,11.065055
14346,22.598066,0.41223058,9975,15,10.041666666666666,10.471649
57083,22.597149,0.40843204,10555,16,10.458333333333334,10.206444
2277,22.593166,0.41290715,9886,13,9.458333333333334,10.511722
92718,22.591908,0.42663467,8335,12,9.0,11.351473
72554,22.591421,0.4153108,9588,15,9.583333333333334,10.658319
10737,22.590395,0.41399837,9744,14,9.958333333333334,10.58017
41702,22.590328,0.41554904,9544,15,9.791666666666666,10.679977
77391,22.588827,0.41471744,9662,14,9.875,10.62008
79689,22.588655,0.41818377,9228,16,10.125,10.844111
14760,22.586605,0.41442555,9705,15,10.041666666666666,10.597801
90966,22.586437,0.4067154,10811,19,11.0,10.089251
63132,22.584127,0.40948898,10391,17,10.041666666666666,10.271738
16708,22.583973,0.40992343,10319,18,9.708333333333334,10.305445
19246,22.580921,0.40930456,10425,19,11.0,10.256249
62542,22.579416,0.41138116,10122,18,10.458333333333334,10.3943
68391,22.576435,0.4072968,10717,17,10.666666666666666,10.12553
50648,22.572536,0.41098988,10173,14,10.125,10.366724
55433,22.571693,0.4133048,9816,14,10.541666666666666,10.535061
61542,22.57133,0.41144443,10101,17,10.833333333333334,10.4008255
89562,22.568674,0.4251476,8470,12,9.083333333333334,11.25933
69696,22.567163,0.41577512,9534,13,9.375,10.673847
3456,22.565342,0.41240948,9944,13,9.666666666666666,10.471795
21817,22.561491,0.41749033,9308,13,9.666666666666666,10.788845
81265,22.555912,0.41303024,9854,16,10.083333333333334,10.509403
75038,22.55348,0.4153251,9566,17,9.833333333333334,10.65116
11522,22.552933,0.41807178,9252,14,9.5,10.815121
91650,22.55057,0.41440976,9674,17,9.833333333333334,10.596044
34484,22.548738,0.4071968,10727,16,10.375,10.1083555
34284,22.548449,0.41132787,10099,18,10.916666666666666,10.390709
54328,22.547953,0.42345995,8636,16,9.625,11.151889
5083,22.54766,0.41913864,9102,14,9.625,10.891149
79565,22.546713,0.4188952,9124,12,9.666666666666666,10.878311
95968,22.5467,0.4065093,10846,18,10.375,10.057047
82670,22.543829,0.41035157,10240,15,9.75,10.322756
97792,22.543509,0.4116184,10053,16,10.166666666666666,10.40845
31359,22.54118,0.4128895,9884,17,10.125,10.4881315
69775,22.540651,0.4146848,9629,16,10.208333333333334,10.614285
51859,22.53942,0.40930995,10376,14,10.166666666666666,10.259201
329,22.53858,0.42274925,8686,15,9.5,11.117043
31462,22.538177,0.41359976,9809,15,9.708333333333334,10.523475
28113,22.536922,0.4092219,10410,18,11.125,10.243329
70536,22.533567,0.41600674,9471,14,9.583333333333334,10.690767
49922,22.530756,0.416711,9395,18,10.291666666666666,10.728579
58587,22.5306,0.41095215,10135,17,9.541666666666666,10.365373
49830,22.528347,0.41866055,9153,13,9.708333333333334,10.853994
50288,22.527765,0.4161379,9456,14,10.083333333333334,10.695265
32318,22.523706,0.40639395,10854,21,11.458333333333334,10.043907
23213,22.523535,0.41553807,9525,19,11.0,10.658612
13883,22.519705,0.412708,9915,16,10.75,10.465187
46680,22.519432,0.4180754,9228,15,10.25,10.8097105
38481,22.517284,0.41782668,9267,13,9.666666666666666,10.789209
34424,22.516054,0.413283,9802,16,10.25,10.517449
73154,22.515783,0.42372093,8600,13,9.041666666666666,11.156837
85922,22.514797,0.41849306,9171,14,9.541666666666666,10.838874
33484,22.512857,0.41169426,10022,13,9.541666666666666,10.410005
